price,price_category,type,beds,baths,address,furnishing,completion_status,post_date,average_rent,building_name,year_of_completion,total_parking_spaces,total_floors,total_building_area_sqft,elevators,area_name,city,country,Latitude,Longitude,purpose,yield_pct
4825000,High,Apartment,2,3,"Vida Residence Downtown, Downtown Dubai, Dubai",Unfurnished,Ready,2024-04-18,288929,VIDA RESIDENCE DOWNTOWN,2018,510,56,1,11,Downtown Dubai,Dubai,UAE,25.18668425,55.27470526460112,For Sale,5.988165803108808
1150000,Average,Apartment,0,1,"The Sterling East, The Sterling, Business Bay, Dubai",Unfurnished,Ready,2024-02-02,82271,THE STERLING EAST HOUSE,2023,259,27,502,6,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,7.154000000000001
1450000,Medium,Apartment,1,2,"Ocean Heights, Dubai Marina, Dubai",Unfurnished,Ready,2024-02-26,150834,OCEAN HEIGHTS,2010,0,75,810,0,Dubai Marina,Dubai,UAE,25.0786415,55.1352524,For Sale,10.402344827586207
2400000,Medium,Apartment,1,2,"The Sterling West, The Sterling, Business Bay, Dubai",Unfurnished,Ready,2024-02-28,183689,THE STERLING WEST HOUSE,2023,0,26,571,0,Business Bay,Dubai,UAE,25.18942655,55.26481901527489,For Sale,7.653708333333334
2750000,Medium,Apartment,1,1,"Lamtara Building 3, Lamtara, Madinat Jumeirah Living, Umm Suqeim, Dubai",Furnished,Ready,2024-01-22,135475,Madinat Jumeirah Living Lamtara 3,2021,138,9,298,2,Umm Suqeim,Dubai,UAE,25.1647586,55.2187285,For Sale,4.926363636363637
1100000,Average,Apartment,1,2,"Binghatti Gateway, Al Jaddaf, Dubai",Unfurnished,Ready,2024-04-02,96107,Binghatti Gateway,2021,271,19,401,4,Al Jaddaf,Dubai,UAE,25.2142937,55.324569,For Sale,8.737
5650000,High,Villa,4,4,"Rockwood, The Park Villas, DAMAC Hills, Dubai",Unfurnished,Ready,2024-04-17,234246,Unknown,0,0,0,0,0,DAMAC Hills,Dubai,UAE,25.0264384,55.251228,For Sale,4.145946902654867
850000,Average,Apartment,1,2,"Fortunato, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Furnished,Ready,2024-04-17,84357,Fortunato 1,2014,0,5,455,0,Jumeirah Village Circle (JVC),Dubai,UAE,25.0559446,55.20746502861806,For Sale,9.92435294117647
1200000,Average,Townhouse,3,3,"Mimosa, DAMAC Hills 2 (Akoya by DAMAC), Dubai",Unfurnished,Ready,2024-01-12,68288,Unknown,0,0,0,0,0,DAMAC Hills 2 (Akoya by DAMAC),Dubai,UAE,24.982883,55.37972,For Sale,5.690666666666667
780000,Average,Apartment,2,2,"Lago Vista C, Lago Vista, Dubai Production City (IMPZ), Dubai",Unfurnished,Ready,2024-04-13,79437,LAGO VISTA-C,2011,0,22,235,0,Dubai Production City (IMPZ),Dubai,UAE,25.03078,55.188226,For Sale,10.18423076923077
1200000,Average,Apartment,1,2,"Signature Livings North, Signature Livings, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Furnished,Ready,2024-01-17,79226,Signature Livings - North,2021,146,6,186,2,Jumeirah Village Circle (JVC),Dubai,UAE,25.0559446,55.20746502861806,For Sale,6.602166666666667
4950000,High,Apartment,1,1,"One Za'abeel The Residences, One Za'abeel, Za'abeel 1, Za'abeel, Dubai",Furnished,Ready,2024-03-30,387707,One Za'abeel The Residences,2023,1674,67,2,19,Za'abeel,Dubai,UAE,25.21683265,55.30011608643647,For Sale,7.832464646464646
4600000,High,Villa,4,4,"Mira 3, Mira, Reem, Dubai",Furnished,Ready,2024-04-02,175594,Unknown,0,0,0,0,0,Reem,Dubai,UAE,25.0315993,55.275689057829474,For Sale,3.8172608695652173
900000,Average,Apartment,1,2,"Binghatti Gateway, Al Jaddaf, Dubai",Unfurnished,Ready,2024-02-29,61575,Binghatti Gateway,2021,271,19,401,4,Al Jaddaf,Dubai,UAE,25.2142937,55.324569,For Sale,6.841666666666667
2700000,Medium,Apartment,1,2,"Al Shahla, Shoreline Apartments, Palm Jumeirah, Dubai",Furnished,Ready,2024-03-28,166589,Al Shahla,2009,239,13,416,2,Palm Jumeirah,Dubai,UAE,25.10019025,55.11853499506269,For Sale,6.1699629629629635
670000,Average,Apartment,2,3,"Centrium Tower 2, Centrium Towers, Dubai Production City (IMPZ), Dubai",Unfurnished,Ready,2024-02-23,65058,CENTRIUM TOWER 2,2013,0,20,120,0,Dubai Production City (IMPZ),Dubai,UAE,25.03078,55.188226,For Sale,9.710149253731343
6500000,High,Apartment,3,4,"Vida Residences Dubai Marina, Dubai Marina, Dubai",Furnished,Ready,2024-03-13,344431,VIDA Residences Dubai Marina,2022,562,60,1,17,Dubai Marina,Dubai,UAE,25.0786415,55.1352524,For Sale,5.298938461538462
11250000,High,Villa,5,7,"Nad Al Sheba Gardens, Nad Al Sheba 1, Nad Al Sheba, Dubai",Unfurnished,Ready,2024-03-05,542640,Unknown,0,0,0,0,0,Nad Al Sheba,Dubai,UAE,25.1597355,55.3436278,For Sale,4.823466666666667
